Plant_ID,Plant,Year ,Replication ,DMC,Water
PARL 319,8,3,3,6.9,93.1
PARL 326,1,1,3,5.8,94.2
PARL 326,2,3,3,7,93
PARL 326,3,1,3,7.2,92.8
PARL 326,4,3,3,7.4,92.6
PARL 326,5,1,3,10,90
PARL 326,6,3,3,7.3,92.7
PARL 326,7,1,3,9.9,90.1
PARL 326,8,3,3,7.5,92.5
PARL 845,1,1,3,17.7,82.3
PARL 845,2,3,3,8.4,91.6
PARL 845,3,1,3,25,75
PARL 845,4,3,3,10.7,89.3
PARL 845,5,1,3,21.7,78.3
PARL 845,6,3,3,8.1,91.9
PARL 845,7,1,3,37.5,62.5
PARL 845,8,3,3,8.8,91.2
PARL 582,1,1,3,8.6,91.4
PARL 582,2,3,3,7,93
PARL 582,3,1,3,8.1,91.9
PARL 582,4,3,3,6.5,93.5
PARL 582,5,1,3,7.1,92.9
PARL 582,6,3,3,6.8,93.2
PARL 582,7,1,3,7.5,92.5
PARL 582,8,3,3,6.9,93.1
PARL 242,1,1,3,7.5,92.5
PARL 242,2,3,3,7.4,92.6
PARL 242,3,1,3,7.2,92.8
PARL 242,4,3,3,6.6,93.4
PARL 242,5,1,3,6.5,93.5
PARL 242,6,3,3,7.1,92.9
PARL 242,7,1,3,6.7,93.3
PARL 242,8,3,3,7.2,92.8
PARL 246,1,1,3,6.1,93.9
PARL 246,2,3,3,6.9,93.1
PARL 246,3,1,3,6.6,93.4
PARL 246,4,3,3,5.5,94.5
PARL 246,5,1,3,5.6,94.4
PARL 246,6,3,3,6.2,93.8
PARL 246,7,1,3,6.1,93.9
PARL 246,8,3,3,6.3,93.7
PARL 580,1,1,4,6.8,93.2
PARL 580,2,3,4,6.1,93.9
PARL 580,3,1,4,4.8,95.2
PARL 580,4,3,4,6.1,93.9
PARL 580,5,1,4,6.4,93.6
PARL 580,6,3,4,9.8,90.2
PARL 580,7,1,4,7.8,92.2
PARL 580,8,3,4,6,94
PARL 854,1,1,4,10.1,89.9
PARL 854,2,3,4,6.1,93.9
PARL 854,3,1,4,22.3,77.7
PARL 854,4,3,4,10.7,89.3
PARL 854,5,1,4,10.6,89.4
PARL 854,6,3,4,9.4,90.6
PARL 854,7,1,4,6.3,93.7
PARL 854,8,3,4,8.1,91.9
PARL 584,1,1,4,NA,NA
PARL 584,2,3,4,6.5,93.5
PARL 584,3,1,4,12.2,87.8
PARL 584,4,3,4,6.5,93.5
PARL 584,5,1,4,9.4,90.6
PARL 584,6,3,4,5.8,94.2
PARL 584,7,1,4,8.4,91.6
PARL 584,8,3,4,5.5,94.5
PARL 585,1,1,4,7.2,92.8
PARL 585,2,3,4,6.3,93.7
PARL 585,3,1,4,7.3,92.7
PARL 585,4,3,4,8.8,91.2
PARL 585,5,1,4,8.5,91.5
PARL 585,6,3,4,8.3,91.7
PARL 585,7,1,4,18.9,81.1
PARL 585,8,3,4,9.1,90.9
PARL 839,1,1,4,7.8,92.2
PARL 839,2,3,4,10.8,89.2
PARL 839,3,1,4,9.3,90.7
PARL 839,4,3,4,9.9,90.1
PARL 839,5,1,4,9.7,90.3
PARL 839,6,3,4,9.3,90.7
PARL 839,7,1,4,9.9,90.1
PARL 839,8,3,4,9.8,90.2
PARL 325,1,1,4,6.9,93.1
PARL 325,2,3,4,5.6,94.4
PARL 325,3,1,4,9.2,90.8
PARL 325,4,3,4,NA,NA
PARL 325,5,1,4,6.6,93.4
PARL 325,6,3,4,7,93
PARL 325,7,1,4,NA,NA
PARL 325,8,3,4,NA,NA
PARL 572,1,1,4,5.5,94.5
PARL 572,2,3,4,6.1,93.9
PARL 572,3,1,4,4.4,95.6
PARL 572,4,3,4,7.4,92.6
PARL 572,5,1,4,5.4,94.6
PARL 572,6,3,4,7.8,92.2
PARL 572,7,1,4,4.6,95.4
PARL 572,8,3,4,7.4,92.6
PARL 390,1,1,4,7.6,92.4
PARL 390,2,3,4,7,93
PARL 390,3,1,4,7.8,92.2
PARL 390,4,3,4,11.2,88.8
PARL 390,5,1,4,8.4,91.6
PARL 390,6,3,4,NA,NA
PARL 390,7,1,4,6,94
PARL 390,8,3,4,NA,NA
PARL 319,1,1,4,5.5,94.5
PARL 319,2,3,4,5.8,94.2
PARL 319,3,1,4,5.7,94.3
PARL 319,4,3,4,6.6,93.4
PARL 319,5,1,4,17.2,82.8
PARL 319,6,3,4,6.2,93.8
PARL 319,7,1,4,18.2,81.8
PARL 319,8,3,4,7,93
PARL 326,1,1,4,6.2,93.8
PARL 326,2,3,4,6.5,93.5
PARL 326,3,1,4,7.2,92.8
PARL 326,4,3,4,6.9,93.1
PARL 326,5,1,4,5.5,94.5
PARL 326,6,3,4,6.5,93.5
PARL 326,7,1,4,5.8,94.2
PARL 326,8,3,4,7.1,92.9
PARL 845,1,1,4,6.6,93.4
PARL 845,2,3,4,9.3,90.7
PARL 845,3,1,4,17.9,82.1
PARL 845,4,3,4,9.5,90.5
PARL 845,5,1,4,11.3,88.7
PARL 845,6,3,4,9.1,90.9
PARL 845,7,1,4,6.9,93.1
PARL 845,8,3,4,9.7,90.3
PARL 582,1,1,4,5,95
PARL 582,2,3,4,6.5,93.5
PARL 582,3,1,4,8.1,91.9
PARL 582,4,3,4,6,94
PARL 582,5,1,4,5.7,94.3
PARL 582,6,3,4,5.7,94.3
PARL 582,7,1,4,7.1,92.9
PARL 582,8,3,4,6.5,93.5
PARL 242,1,1,4,6.5,93.5
PARL 242,2,3,4,6.7,93.3
PARL 242,3,1,4,5.8,94.2
PARL 242,4,3,4,6.3,93.7
PARL 242,5,1,4,5.5,94.5
PARL 242,6,3,4,7.2,92.8
PARL 242,7,1,4,6.2,93.8
PARL 242,8,3,4,10,90
PARL 246,1,1,4,5.4,94.6
PARL 246,2,3,4,6.3,93.7
PARL 246,3,1,4,8.5,91.5
PARL 246,4,3,4,7.4,92.6
PARL 246,5,1,4,5.4,94.6
PARL 246,6,3,4,7.9,92.1
PARL 246,7,1,4,6.4,93.6
PARL 246,8,3,4,6.5,93.5
