,completeID,fresh_weight,width,height,diameter,thickness,accession,species,H_div_W,FW_div_W,FW_div_D,FW_div_H,FW_div_T,D_div_W,Theo_Area,PartRatio,Pade_Peri,Pade_Derived_Diam,Area,dry_proportion,water_proportion,dry_weight,water_weight
72,PARL 319-1-8,830.5,14.6,44.6,99.8,21,PARL 319,O. cochinillifera,3.054794521,56.88356164,8.321643287,18.62107623,39.54761905,6.835616438,511.4198681,0.256802411,198.1272491,63.0658621,643.573,0.059634307,0.940365693,49.52629196,780.973708
73,PARL 319-2-1,1050.7,17.3,45.2,100.5,23.5,PARL 319,O. cochinillifera,2.612716763,60.73410405,10.45472637,23.24557522,44.7106383,5.809248555,614.1499479,0.19927296,206.2595447,65.65445221,555.725,0.047085319,0.952914681,49.47254467,1001.227455
74,PARL 319-2-2,971.5,16.4,43.2,98.9,22.2,PARL 319,O. cochinillifera,2.634146341,59.23780488,9.823053589,22.48842593,43.76126126,6.030487805,556.4388908,0.202198099,196.8297396,62.65285202,536.166,0.065088482,0.934911518,63.23346026,908.2665397
75,PARL 319-2-3,1210.2,19.3,44.8,103.2,24.7,PARL 319,O. cochinillifera,2.321243523,62.70466321,11.72674419,27.01339286,48.99595142,5.347150259,679.086668,0.1582575,209.42546,66.66219435,614.857,0.051606945,0.948393055,62.45472484,1147.745275
76,PARL 319-2-4,1230.7,15.6,52.8,115.9,23.1,PARL 319,O. cochinillifera,3.384615385,78.89102564,10.61863676,23.30871212,53.27705628,7.429487179,646.9167592,0.295783318,231.0919852,73.55886351,604.193,0.064137454,0.935862546,78.93396464,1151.766035
77,PARL 319-2-5,1002.5,12.4,47.4,102,32.1,PARL 319,O. cochinillifera,3.822580645,80.84677419,9.828431373,21.14978903,31.2305296,8.225806452,461.6256245,0.34255769,204.3328047,65.04115181,407.113,0.075862844,0.924137156,76.05250111,926.4474989
78,PARL 319-2-6,1134.4,16.4,48.8,107.4,26.1,PARL 319,O. cochinillifera,2.975609756,69.17073171,10.56238361,23.24590164,43.46360153,6.548780488,628.5698581,0.246941925,217.6852422,69.29136465,582.961,NA,NA,NA,NA
79,PARL 319-2-7,1661.8,17.8,52.6,114.8,26.7,PARL 319,O. cochinillifera,2.95505618,93.35955056,14.47560976,31.59315589,62.23970037,6.449438202,735.3525924,0.244350465,234.8985138,74.77051919,701.061,0.081988251,0.918011749,136.2480755,1525.551924
80,PARL 319-2-8,1285.2,16.2,47.3,107.4,29.1,PARL 319,O. cochinillifera,2.919753086,79.33333333,11.96648045,27.17124736,44.16494845,6.62962963,601.8191967,0.23986856,211.6448325,67.36864256,592.967,0.06664078,0.93335922,85.64673046,1199.55327
81,PARL 319-3-1,1420.3,17.2,56.1,123.4,20.9,PARL 319,O. cochinillifera,3.261627907,82.5755814,11.50972447,25.31729055,67.9569378,7.174418605,757.8463958,0.281638001,246.7995712,78.55874343,698.025,0.054772845,0.945227155,77.79387175,1342.506128
82,PARL 319-3-2,1259.9,19.9,48.5,111.3,23.6,PARL 319,O. cochinillifera,2.43718593,63.31155779,11.31985624,25.97731959,53.38559322,5.592964824,758.0270374,0.174831572,224.384424,71.42378047,712.356,0.061544106,0.938455894,77.53941915,1182.360581
83,PARL 319-3-3,942.8,13.8,51.7,111.8,21.3,PARL 319,O. cochinillifera,3.746376812,68.31884058,8.432915921,18.23597679,44.2629108,8.101449275,560.3501737,0.334807995,223.3913788,71.10768435,530.516,0.051900433,0.948099567,48.93172823,893.8682718
84,PARL 319-3-4,1350,16.1,51.3,115.3,27.9,PARL 319,O. cochinillifera,3.186335404,83.85093168,11.7085863,26.31578947,48.38709677,7.161490683,648.6839051,0.272750486,226.4457588,72.07992372,610.738,0.056464635,0.943535365,76.22725725,1273.772743
85,PARL 319-3-5,1221.7,17.7,43.5,105.9,18.7,PARL 319,O. cochinillifera,2.457627119,69.02259887,11.53635505,28.08505747,65.3315508,5.983050847,604.7173159,0.177720108,200.9071265,63.95072456,659.612,0.049586598,0.950413402,60.57994678,1161.120053
86,PARL 319-3-6,961.6,15.3,46.1,104,25.1,PARL 319,O. cochinillifera,3.013071895,62.8496732,9.246153846,20.85900217,38.31075697,6.797385621,553.9648866,0.251631317,205.2319689,65.32736466,528.504,0.059621522,0.940378478,57.33205556,904.2679444
87,PARL 319-3-7,1253.9,17.1,46.6,105.5,22.1,PARL 319,O. cochinillifera,2.725146199,73.32748538,11.88530806,26.90772532,56.73755656,6.169590643,625.8523805,0.214469316,211.0012978,67.16379909,664.208,0.13204533,0.86795467,165.5716393,1088.328361
88,PARL 319-3-8,1310.2,18.7,48.6,108.2,24.7,PARL 319,O. cochinillifera,2.598930481,70.06417112,12.1090573,26.95884774,53.04453441,5.786096257,713.7855589,0.197384137,221.9977676,70.66408413,659.167,0.068975547,0.931024453,90.37176168,1219.828238
89,PARL 319-4-1,1220.6,15.4,54.1,117.6,29.2,PARL 319,O. cochinillifera,3.512987013,79.25974026,10.3792517,22.56192237,41.80136986,7.636363636,654.3466259,0.310064696,235.6211742,75.00054916,606.361,0.055188654,0.944811346,67.36327107,1153.236729
90,PARL 319-4-2,1009.1,17.1,46.4,105.5,20.6,PARL 319,O. cochinillifera,2.713450292,59.01169591,9.56492891,21.74784483,48.98543689,6.169590643,623.1663188,0.212905946,210.2585814,66.92738513,575.986,0.058004563,0.941995437,58.53240452,950.5675955
91,PARL 319-4-3,1064.7,16.4,47.2,106,20.1,PARL 319,O. cochinillifera,2.87804878,64.92073171,10.04433962,22.55720339,52.97014925,6.463414634,607.9610103,0.234523951,211.7024814,67.38699277,587.955,0.056757762,0.943242238,60.4299892,1004.270011
