completeID,dry_proportion,water_proportion
PARL 325-4-5,0.065500447,0.934499553
PARL 325-4-6,0.069935713,0.930064287
PARL 325-4-7,NaN,NaN
PARL 325-4-8,NaN,NaN
PARL 572-4-1,0.055485168,0.944514832
PARL 572-4-2,0.060854991,0.939145009
PARL 572-4-3,0.043988594,0.956011406
PARL 572-4-4,0.074231736,0.925768264
PARL 572-4-5,0.05423554,0.94576446
PARL 572-4-6,0.078470573,0.921529427
PARL 572-4-7,0.045893232,0.954106768
PARL 572-4-8,0.074421667,0.925578333
PARL 390-4-1,0.075747068,0.924252932
PARL 390-4-2,0.069579505,0.930420495
PARL 390-4-3,0.077942774,0.922057226
PARL 390-4-4,0.112273065,0.887726935
PARL 390-4-5,0.08409545,0.91590455
PARL 390-4-6,NaN,NaN
PARL 390-4-7,0.059685961,0.940314039
PARL 390-4-8,NaN,NaN
PARL 319-4-1,0.055188654,0.944811346
PARL 319-4-2,0.058004563,0.941995437
PARL 319-4-3,0.056757762,0.943242238
PARL 319-4-4,0.065896103,0.934103897
PARL 319-4-5,0.171758919,0.828241081
PARL 319-4-6,0.062027164,0.937972836
PARL 319-4-7,0.181907451,0.818092549
PARL 319-4-8,0.07022798,0.92977202
PARL 326-4-1,0.061587561,0.938412439
PARL 326-4-2,0.064965264,0.935034736
PARL 326-4-3,0.071810267,0.928189733
PARL 326-4-4,0.06874404,0.93125596
PARL 326-4-5,0.055465987,0.944534013
PARL 326-4-6,0.064917774,0.935082226
PARL 326-4-7,0.058044694,0.941955306
PARL 326-4-8,0.070981729,0.929018271
PARL 845-4-1,0.066372492,0.933627508
PARL 845-4-2,0.092576139,0.907423861
PARL 845-4-3,0.179268274,0.820731726
PARL 845-4-4,0.095428519,0.904571481
PARL 845-4-5,0.113290693,0.886709307
PARL 845-4-6,0.091300591,0.908699409
PARL 845-4-7,0.068750791,0.931249209
PARL 845-4-8,0.097314043,0.902685957
PARL 582-4-1,0.050399289,0.949600711
PARL 582-4-2,0.065040362,0.934959638
PARL 582-4-3,0.08062452,0.91937548
PARL 582-4-4,0.059528843,0.940471157
PARL 582-4-5,0.056601838,0.943398162
PARL 582-4-6,0.057429261,0.942570739
PARL 582-4-7,0.071175981,0.928824019
PARL 582-4-8,0.064961451,0.935038549
PARL 242-4-1,0.065428343,0.934571657
PARL 242-4-2,0.066506531,0.933493469
PARL 242-4-3,0.057777435,0.942222565
PARL 242-4-4,0.063406505,0.936593495
PARL 242-4-5,0.054750689,0.945249311
PARL 242-4-6,0.072178943,0.927821057
PARL 242-4-7,0.062441432,0.937558568
PARL 242-4-8,0.100451738,0.899548262
PARL 246-4-1,0.053774379,0.946225621
PARL 246-4-2,0.062802871,0.937197129
PARL 246-4-3,0.085011663,0.914988337
PARL 246-4-4,0.074021284,0.925978716
PARL 246-4-5,0.054129147,0.945870853
PARL 246-4-6,0.079318409,0.920681591
PARL 246-4-7,0.064103481,0.935896519
PARL 246-4-8,0.064786381,0.935213619
