completeID,fresh_weight,width,height,diameter,thickness
PARL 854-4-4,484.8,163,227,584,22.3
PARL 854-4-5,580,164,286,694,16.2
PARL 854-4-6,580.2,185,244,664,19.3
PARL 854-4-7,301.7,133,231,587,15.7
PARL 854-4-8,414.8,148,226,569,21.6
PARL 584-4-1,1059.3,189,352,863,21.6
PARL 584-4-2,993.3,198,307,819,23
PARL 584-4-3,584.2,156,243,664,21.6
PARL 584-4-4,1174.3,199,403,959,20.9
PARL 584-4-5,1511.2,190,392,969,29.9
PARL 584-4-6,1529.1,238,427,1037,20.3
PARL 584-4-7,720.2,163,348,814,17.7
PARL 584-4-8,916,170,383,904,19.8
PARL 585-4-1,649.8,166,336,814,16.5
PARL 585-4-2,828.5,186,327,796,22.2
PARL 585-4-3,544.2,154,226,578,26.6
PARL 585-4-4,445.9,165,291,668,15
PARL 585-4-5,860.9,185,344,820,23.3
PARL 585-4-6,1015.2,186,367,861,22.6
PARL 585-4-7,678,210,309,751,21.6
PARL 585-4-8,762.8,179,321,790,23.1
PARL 839-4-1,996.7,256,368,1015,14.8
PARL 839-4-2,788.7,237,369,903,12.4
PARL 839-4-3,599,216,366,858,11.2
PARL 839-4-4,1481.9,286,369,1069,18.8
PARL 839-4-5,417.8,188,317,752,9.97
PARL 839-4-6,898.3,282,306,886,15
PARL 839-4-7,948.9,224,423,1016,11.5
PARL 839-4-8,674.9,228,239,793,20.4
PARL 325-4-1,1272.3,208,407,963,22.4
PARL 325-4-2,1678.5,223,406,994,39.8
PARL 325-4-3,1226.1,238,397,1013,18.3
PARL 325-4-4,1250.7,233,321,916,18.9
PARL 325-4-5,1244.2,239,388,944,23.9
PARL 325-4-6,1191.4,197,429,989,23.1
PARL 325-4-7,1490.1,204,468,1060,23.4
PARL 325-4-8,2437.8,298,481,1228,25.6
PARL 572-4-1,748.7,192,373,841,16.5
PARL 572-4-2,779.3,178,337,836,20.8
PARL 572-4-3,1026.1,213,405,902,20.6
PARL 572-4-4,1299.2,184,402,961,25.1
PARL 572-4-5,1038.3,202,408,955,18.7
PARL 572-4-6,901.1,198,343,833,25.3
PARL 572-4-7,1164.7,206,372,906,20.9
PARL 572-4-8,1257,226,438,1050,18.3
PARL 390-4-1,2169.4,292,367,1049,26.3
PARL 390-4-2,772.7,213,293,816,18.3
PARL 390-4-3,1380.5,264,271,862,27
PARL 390-4-4,657.8,203,224,706,20.7
PARL 390-4-5,1633.9,257,341,926,29.9
PARL 390-4-6,1019.6,248,282,586,24.6
